"instituto","data_publicacao","cenario","registro_tse","fonte_dados","fonte_auditoria","status_auditoria","observacao_auditoria"
"Palver","2026-09-09","agosto_setembro_2026_sem_marcal","BR-05420/2026","https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm","https://github.com/palverdata/pesquisa-palver/blob/main/README.md","fonte_primaria_confirmada","Repositorio oficial Palver lista onda 2 divulgada em 09/09 com registro campo relatorio e press release; pagina Palver Survey publica relatorios"
"PoderData/Aya","2026-08-27","agosto_setembro_2026_com_marcal","BR-04974/2026","https://noticias.uol.com.br/eleicoes/2026/08/31/pesquisa-eleitoral-presidencial-veja-quem-esta-na-frente-dos-ultimos-levantamentos.ghtm","https://www.poder360.com.br/poderdata/poderdata-aya-lula-tem-38-contra-35-de-flavio-no-1o-turno/","fonte_primaria_confirmada","Poder360/PoderData confirma campo amostra municipios metodo margem confianca registro e link para PDF"
"PoderData/Aya","2026-09-10","agosto_setembro_2026_com_marcal","BR-04914/2026","https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm","https://www.poder360.com.br/poderdata/poderdata-aya-lula-tem-38-contra-36-de-flavio-no-1o-turno/","fonte_primaria_confirmada","Poder360/PoderData confirma campo amostra municipios metodo margem confianca registro e link para PDF"
"Quaest","2026-09-07","agosto_setembro_2026_com_marcal","BR-01720/2026","https://noticias.uol.com.br/eleicoes/2026/09/11/pesquisa-presidente-2026-primeiro-turno-veja-numeros-mais-recentes.ghtm","https://quaest.com.br/relatorios/pesquisa-de-intencao-de-voto-para-presidente-rodada-3-07-09-2026/","fonte_primaria_localizada","Pagina oficial Quaest lista a rodada 3 de 07/09; imprensa confirma amostra margem e registro BR-01720/2026"
"Quaest","2026-09-07","agosto_setembro_2026_sem_marcal","BR-01720/2026","https://noticias.uol.com.br/eleicoes/2026/09/07/quaest-presidencial-7-de-setembro.ghtm","https://quaest.com.br/relatorios/pesquisa-de-intencao-de-voto-para-presidente-rodada-3-07-09-2026/","fonte_primaria_localizada","Pagina oficial Quaest lista a rodada 3 de 07/09; imprensa confirma amostra margem e registro BR-01720/2026"
"CNT/MDA","2026-09-15","agosto_setembro_2026_sem_marcal","BR-06902/2026","https://noticias.uol.com.br/eleicoes/2026/09/15/pesquisa-cntmda-lula-flavio-bolsonaro.ghtm","https://www.poder360.com.br/poder-eleicoes-2026/lula-tem-473-contra-400-de-flavio-no-2o-turno-diz-cnt-mda/","registro_e_metodologia_confirmados","Poder360 confirma campo amostra metodo margem confianca registro contratante custo e link para integra em PDF; localizar URL oficial CNT direta"
"BTG/Nexus","2026-09-14","agosto_setembro_2026_sem_marcal","BR-04076/2026","https://noticias.uol.com.br/eleicoes/2026/09/16/caiado-na-pesquisa-eleitoral-veja-ultimos-levantamentos.ghtm","https://www.nexus.fsb.com.br/estudos-divulgados/pesquisa-btg-nexus-de-intencao-de-votos-para-presidente-do-brasil-14-de-setembro-de-2026/","fonte_primaria_confirmada","Nexus confirma rodada campo amostra telefone margem confianca cobertura nacional e registro"
"Quaest","2026-09-14","agosto_setembro_2026_sem_marcal","BR-03607/2026","https://noticias.uol.com.br/eleicoes/2026/09/16/caiado-na-pesquisa-eleitoral-veja-ultimos-levantamentos.ghtm","https://quaest.com.br/relatorios/pesquisa-de-intencao-de-voto-para-presidente-rodada-4-14-09-2026/","fonte_primaria_localizada","Pagina oficial Quaest lista relatorio da rodada; UOL/CNN continuam como conferencia de metodologia registro e numeros"
"AtlasIntel/Bloomberg","2026-09-17","agosto_setembro_2026_sem_marcal","BR-06221/2026","https://www.band.com.br/politica/eleicoes/atlasintel-lula-lidera-com-441-das-intencoes-de-voto-flavio-tem-417","https://atlasintel.org/poll/brazil-national-2026-09-17","fonte_primaria_confirmada","AtlasIntel confirma pesquisa nacional campo amostra margem e link de download; Band usada para conferencia do registro e numeros"
"Datafolha","2026-09-17","agosto_setembro_2026_sem_marcal","BR-04029/2026","https://www1.folha.uol.com.br/poder/2026/09/datafolha-lula-e-flavio-bolsonaro-empatam-em-1o-e-2o-turnos.shtml","https://www1.folha.uol.com.br/poder/2026/09/datafolha-lula-e-flavio-bolsonaro-empatam-em-1o-e-2o-turnos.shtml","registro_e_metodologia_confirmados","Folha confirma campo amostra municipios contratante e registro"
"BTG/Nexus","2026-09-21","agosto_setembro_2026_sem_marcal","BR-00485/2026","https://noticias.uol.com.br/eleicoes/2026/09/24/lula-x-flavio-bolsonaro-nas-pesquisas-veja-os-numeros-mais-recentes-atualizados.ghtm","https://www.nexus.fsb.com.br/estudos-divulgados/pesquisa-btg-nexus-de-intencao-de-votos-para-presidente-do-brasil-21-de-setembro-de-2026/","fonte_primaria_confirmada","Nexus confirma rodada campo amostra telefone CATI margem confianca universo cobertura nacional cotas e registro"
"Quaest","2026-09-21","agosto_setembro_2026_sem_marcal","BR-06004/2026","https://noticias.uol.com.br/eleicoes/2026/09/24/lula-x-flavio-bolsonaro-nas-pesquisas-veja-os-numeros-mais-recentes-atualizados.ghtm","https://quaest.com.br/relatorios/pesquisa-de-intencao-de-voto-para-presidente-rodada-5-21-09-2026/","fonte_primaria_localizada","Pagina oficial Quaest lista relatorio da rodada; UOL/G1 continuam como conferencia de metodologia registro e numeros"
"AtlasIntel/Bloomberg","2026-09-23","agosto_setembro_2026_sem_marcal","BR-04739/2026","https://www.cnnbrasil.com.br/eleicoes/atlas-bloomberg-lula-tem-458-no-1o-turno-flavio-434/","https://atlasintel.org/poll/brazil-national-2026-09-23","fonte_primaria_confirmada","AtlasIntel confirma pesquisa nacional campo amostra margem e link de download; CNN/Poder360 usados para conferencia do registro e numeros"
"RealTime Big Data","2026-09-24","agosto_setembro_2026_sem_marcal","BR-04202/2026","https://noticias.uol.com.br/eleicoes/2026/09/24/realtime-big-data-lula-empata-com-flavio-caiado-e-cury-no-2-turno.ghtm","https://realtimebigdata.com.br/pesquisas/","fonte_primaria_localizada","Pagina oficial RealTime Big Data lista pesquisa Brasil 24/09 com registro TSE BR-04202/2026 e relatorio completo; UOL usado para conferencia dos numeros"
"Palver","2026-09-24","agosto_setembro_2026_sem_marcal","BR-09587/2026","https://noticias.uol.com.br/eleicoes/2026/09/24/lula-x-flavio-bolsonaro-nas-pesquisas-veja-os-numeros-mais-recentes-atualizados.ghtm","https://palver.com/survey","fonte_primaria_confirmada","Pagina Palver Survey lista a onda W4 de setembro/2026 com press release e relatorio; repositorio oficial confirma metodologia publica e ondas"
"Datafolha","2026-09-24","agosto_setembro_2026_sem_marcal","BR-00304/2026","https://www1.folha.uol.com.br/poder/2026/09/datafolha-lula-tem-40-e-flavio-bolsonaro-36-em-1o-turno-rivais-empatam-em-2o-turno.shtml","https://www1.folha.uol.com.br/poder/2026/09/datafolha-lula-tem-40-e-flavio-bolsonaro-36-em-1o-turno-rivais-empatam-em-2o-turno.shtml","registro_e_metodologia_confirmados","Folha confirma campo amostra municipios contratante e registro"
